input,expected_output,language,severity
"def get_user(user_id):\n    conn = sqlite3.connect('app.db')\n    cursor = conn.cursor()\n    query = ""SELECT * FROM users WHERE id = "" + user_id\n    cursor.execute(query)\n    return cursor.fetchone()","SQL injection vulnerability: `user_id` is concatenated directly into the query string. An attacker can pass `1 OR 1=1` or `1; DROP TABLE users;--` to read or destroy arbitrary data. Fix by using parameterized queries: `cursor.execute('SELECT * FROM users WHERE id = ?', (user_id,))`. Never interpolate user-supplied values into SQL strings.",python,critical
"func updateCounters(ids []int) {\n    counts := make(map[int]int)\n    var wg sync.WaitGroup\n    for _, id := range ids {\n        wg.Add(1)\n        go func(id int) {\n            defer wg.Done()\n            counts[id]++\n        }(id)\n    }\n    wg.Wait()\n}","Race condition: multiple goroutines concurrently read and write `counts` without synchronization. The Go race detector (`go test -race`) will flag this. Fix by protecting `counts` with a `sync.Mutex` (lock before read/write, unlock after) or by using `sync.Map`. Concurrent map writes in Go cause a runtime panic in Go 1.6+.",go,critical
"fn process_items(items: Vec<LargeStruct>) {\n    loop {\n        let batch: Vec<LargeStruct> = items.clone();\n        let boxed = Box::new(batch);\n        // process boxed\n        std::mem::forget(boxed);\n    }\n}","Memory leak: `std::mem::forget(boxed)` explicitly prevents the `Box` (and its heap-allocated `Vec<LargeStruct>`) from being dropped. Inside an infinite loop this will grow the heap without bound until the process is OOM-killed. Remove the `mem::forget` call — Rust's ownership system will drop `boxed` at the end of each iteration automatically. Only use `mem::forget` when transferring ownership to FFI.",rust,critical
"export const stripeClient = new Stripe(\n    'sk_live_EXAMPLE_KEY_DO_NOT_USE_123',\n    { apiVersion: '2023-10-16' }\n);","Hardcoded secret: a live Stripe secret key is committed to source code. Anyone with read access to this repo can make charges, issue refunds, or enumerate customer data. Rotate the key immediately in the Stripe dashboard, then load it from an environment variable: `process.env.STRIPE_SECRET_KEY`. Add `*.env` and secret-scanning rules (e.g. `gitleaks`, GitHub secret scanning) to prevent recurrence.",typescript,critical
"app.post('/admin/delete-user', async (req, res) => {\n    const { userId } = req.body;\n    await db.user.delete({ where: { id: userId } });\n    res.json({ ok: true });\n});","Missing authentication and authorization: any unauthenticated request can delete arbitrary users. Add an `authenticate` middleware to verify a valid session/JWT, and an `requireRole('admin')` middleware to enforce that only admins can call this route. Also consider adding an audit log entry and requiring the caller to confirm the target user's email to prevent accidental or malicious bulk deletion.",typescript,critical
"unsafe fn read_buffer(buf: *const u8, len: usize, index: usize) -> u8 {\n    // caller guarantees index is valid\n    *buf.add(index)\n}","Buffer over-read: the function accepts an arbitrary `index` but never checks `index < len`. A caller that passes an out-of-bounds index causes undefined behaviour — reading attacker-controlled memory regions. In `unsafe` Rust you must manually enforce every invariant that safe code enforces automatically. Add `assert!(index < len, ""index {index} out of bounds for len {len}"");` before the dereference, or return a `Result`/`Option` and check the bound before entering `unsafe`.",rust,critical
"def flatten(lst):\n    result = []\n    for item in lst:\n        if isinstance(item, list):\n            result.extend(flatten(item))\n        else:\n            result.append(item)\n    return result\n\ndata = [[1], [2, [3, [4]]]]\nprint(flatten(data * 10000))","Unbounded recursion: deeply nested input will exceed Python's default recursion limit (~1000 frames) and raise `RecursionError`. For arbitrary user input this is effectively a denial-of-service vector. Rewrite using an explicit stack (iterative DFS) or use `sys.setrecursionlimit` only as a last resort. Also note the recursive call on line 4 has no depth guard.",python,critical
"cursor.execute(""DELETE FROM orders"")","SQL DELETE without a WHERE clause: this will unconditionally delete every row in the `orders` table. If this runs in production it is unrecoverable without a backup. Always include a WHERE clause scoped to the intended rows. Before any bulk DELETE, run the equivalent SELECT to verify the row count. Consider wrapping destructive operations in a transaction so you can ROLLBACK if the count is unexpected.",sql,critical
"async function getPostsWithAuthors(postIds: number[]) {\n    const posts = await prisma.post.findMany({\n        where: { id: { in: postIds } }\n    });\n    const result = [];\n    for (const post of posts) {\n        const author = await prisma.user.findUnique({\n            where: { id: post.authorId }\n        });\n        result.push({ ...post, author });\n    }\n    return result;\n}","N+1 query: `prisma.user.findUnique` is called once per post inside the loop, producing N+1 database round-trips. For 100 posts this is 101 queries. Fix by using Prisma's `include`: `prisma.post.findMany({ where: { id: { in: postIds } }, include: { author: true } })`. This fetches posts and authors in a single JOIN. For very large sets, a `select` with a nested `include` gives finer control over returned fields.",typescript,warning
"def parse_config(path):\n    try:\n        with open(path) as f:\n            return json.load(f)\n    except:\n        return {}","Bare `except` swallows every exception including `KeyboardInterrupt`, `SystemExit`, and `MemoryError`. Silent failures here mean a missing or malformed config file will be silently ignored, causing subtle bugs downstream. Catch only the exceptions you can handle: `except (FileNotFoundError, json.JSONDecodeError) as e:` and at minimum log the error. Re-raise anything you can't handle.",python,warning
"function isAdmin(user) {\n    if (user.role == 'admin') {\n        return true;\n    }\n    return user.permissions == 3;\n}","Using `==` instead of `===`: JavaScript's abstract equality coerces types before comparing, so `0 == ''` is `true` and `null == undefined` is `true`. In a security-sensitive check like this, type coercion can cause `user.role` to match unexpectedly. Replace both comparisons with `===`. Enable the `eqeqeq` ESLint rule to catch this project-wide.",typescript,warning
"def append_item(item, bucket=[]):\n    bucket.append(item)\n    return bucket\n\nresult1 = append_item('a')\nresult2 = append_item('b')","Mutable default argument: the default `bucket=[]` is evaluated once at function definition time and shared across all calls. `result1` and `result2` will point to the same list `['a', 'b']`, not separate lists. This is a common Python footgun. Fix by using `None` as the default and initialising inside the function: `if bucket is None: bucket = []`.",python,warning
"func fetchAll(urls []string) []string {\n    results := make([]string, 0)\n    for _, url := range urls {\n        go func(u string) {\n            resp, _ := http.Get(u)\n            results = append(results, resp.Status)\n        }(url)\n    }\n    time.Sleep(2 * time.Second)\n    return results\n}","Unbounded goroutine spawning: one goroutine is launched per URL with no concurrency limit. For a large slice this will exhaust file descriptors and memory. Use a worker pool with a buffered channel as a semaphore (e.g. `sem := make(chan struct{}, 20)`) or `golang.org/x/sync/errgroup` with `SetLimit`. Also: the `time.Sleep` is not a reliable synchronisation mechanism — use `sync.WaitGroup` instead.",go,warning
"fn read_config(path: &str) -> String {\n    let mut file = File::open(path).unwrap();\n    let mut contents = String::new();\n    file.read_to_string(&mut contents).unwrap();\n    contents\n}","Unhandled errors via `.unwrap()`: if the file doesn't exist or is unreadable, this panics and crashes the process with no context. Return a `Result<String, io::Error>` instead and propagate with `?`. At the call site the caller can decide whether to log and exit gracefully, use a default, or surface the error to the user. Reserve `.unwrap()` for tests or provably-infallible cases.",rust,warning
"SELECT * FROM transactions\nWHERE account_id = $1\nORDER BY created_at DESC\nLIMIT 100;","SELECT *: fetching all columns couples this query to the current table schema. Adding or removing a column silently changes what application code receives, which can cause deserialization errors or expose sensitive fields (e.g. `internal_notes`, `raw_payload`). List only the columns your application actually consumes. This also prevents unnecessary data transfer and can allow the query planner to use a covering index.",sql,warning
"def calculate_discount(price, discount_rate):\n    if price == 0.0:\n        return 0.0\n    return price * (1 - discount_rate)","Floating-point equality comparison: `price == 0.0` may never be true due to IEEE 754 representation errors. For example, a value computed as `0.1 + 0.1 - 0.2` equals approximately `2.78e-17`, not `0.0`. Use `math.isclose(price, 0.0, abs_tol=1e-9)` or compare against a small epsilon. For monetary values, use `decimal.Decimal` throughout to avoid floating-point arithmetic entirely.",python,warning
"export async function createOrder(items: CartItem[]) {\n    console.log('Creating order', items);\n    const order = await db.order.create({ data: { items } });\n    console.log('Order created', order.id);\n    return order;\n}","Debug logging left in production: `console.log` writes to stdout in plain text, potentially exposing customer cart contents and order IDs in server logs or browser dev tools. Replace with a structured logger (e.g. `pino`, `winston`) that supports log levels — log at `debug` level so these lines are silent in production. Also consider that `items` may contain PII; ensure your logging pipeline redacts sensitive fields.",typescript,warning
"export async function handleWebhook(req: Request, res: Response) {\n    const payload = req.body;\n    // ... 95 lines of nested conditionals handling\n    // stripe, paypal, and apple pay events,\n    // updating orders, sending emails,\n    // and logging to 3 different services\n    res.sendStatus(200);\n}","Function is too long (~95 lines) and handles too many concerns: payment provider routing, order mutations, email dispatch, and logging are all coupled together. Decompose into: (1) a router that dispatches by `payload.provider`, (2) separate `handleStripeEvent`, `handlePaypalEvent`, `handleApplePayEvent` handlers, (3) an `updateOrderFromWebhook` service function, and (4) a `notifyCustomer` function. Each should be independently testable. Target ≤ 30 lines per function.",typescript,suggestion
